registro_id,data_venda,valor_venda
1,2025-01-05,52000
2,2025-01-10,54000
3,2025-01-15,56000
4,2025-01-20,58000
5,2025-01-25,60000
6,2025-02-05,53000
7,2025-02-10,55000
8,2025-02-15,57000
9,2025-02-20,59000
10,2025-02-25,61000
11,2025-03-05,54000
12,2025-03-10,56000
13,2025-03-15,58000
14,2025-03-20,60000
15,2025-03-25,62000
16,2025-04-05,55000
17,2025-04-10,57000
18,2025-04-15,59000
19,2025-04-20,61000
20,2025-04-25,63000
21,2025-05-05,56000
22,2025-05-10,58000
23,2025-05-15,60000
24,2025-05-20,62000
25,2025-05-25,64000
26,2025-06-05,120000
27,2025-06-10,125000
28,2025-06-15,130000
29,2025-06-20,135000
30,2025-06-25,140000
